id,logtime,interactionid
151931958002930054,2018-02-22 18:12:55.538,8940632577787264521
151931961000559123,2018-02-22 18:13:10.568,1412280168987939423
151931961001179209,2018-02-22 18:13:11.108,1947311443123958242
151931961001814235,2018-02-22 18:13:16.362,6443941823827151601
151931961001626019,2018-02-22 18:13:17.686,4783949793405954394
151931961002712221,2018-02-22 18:13:24.020,4921519979118573878
151931961002729846,2018-02-22 18:13:24.211,4825943449287967043
151931961002688449,2018-02-22 18:13:26.110,2233009385663872802
151931961002965054,2018-02-22 18:13:26.535,4731685181356684979
151931961002947017,2018-02-22 18:13:27.899,4013832680192709432
151931961002871417,2018-02-22 18:13:28.359,4790205093034448523
151931964000485329,2018-02-22 18:13:34.329,609631020819285735
151931964001478320,2018-02-22 18:13:42.424,7232134943405103247
151931964002145554,2018-02-22 18:13:49.473,97468016791269053
151931967000181752,2018-02-22 18:14:02.125,7048911899944823991
151931967001129853,2018-02-22 18:14:10.421,542506389935491315
151931967001520602,2018-02-22 18:14:12.085,8030053849884016582
151931967001598249,2018-02-22 18:14:15.307,6475576244832923685
151931967002381433,2018-02-22 18:14:20.942,8634691789375808036
151931970000474946,2018-02-22 18:14:35.051,4218469487230184549
151931970002395514,2018-02-22 18:14:52.851,1200264313058054785
151931970002308136,2018-02-22 18:14:52.973,4317737670218606326
151931970002646702,2018-02-22 18:14:55.431,559727147295078986
151931973000979713,2018-02-22 18:15:10.773,1758949391737402940
151931973001744416,2018-02-22 18:15:15.282,2528645750840651812
151931973001710949,2018-02-22 18:15:15.655,6669567174714362333
151931973002507018,2018-02-22 18:15:23.832,1491990242038595044
151931976000442748,2018-02-22 18:15:34.310,2974130341129855048
151931976001344629,2018-02-22 18:15:42.637,4276301914954646968
151931976001980108,2018-02-22 18:15:44.162,7730588450518940642
151931976002801854,2018-02-22 18:15:52.356,5921614268640809004
151931976002804940,2018-02-22 18:15:56.617,3792775892421531511
151931979001202015,2018-02-22 18:16:11.228,1449485386788073125
151931979001570954,2018-02-22 18:16:14.538,1452861118893568179
151931979002332145,2018-02-22 18:16:21.800,4269041844603392977
151931982000383353,2018-02-22 18:16:33.157,5851985619046200338
151931982001198004,2018-02-22 18:16:40.745,9106515342724262946
151931982001788854,2018-02-22 18:16:47.674,9030280307846051800
151931982001437922,2018-02-22 18:16:57.078,3001974315300381945
151931982002984654,2018-02-22 18:16:58.257,5022092421719387019
151931985000282854,2018-02-22 18:17:02.746,5086832613381428419
151931985000334054,2018-02-22 18:17:03.113,2489564623237718515
151931988001839425,2018-02-22 18:17:45.708,2354817615481573295
151931988002011114,2018-02-22 18:17:48.928,1037437260127901597
